,STUID,SCHID,state,DIST,SCH,STU,FORM,GENDER,AREA,medium,mathscl,mathtry,mathncor,mathpcor,MT012_001,MT012_002,MT012_003,MT012_004,MT012_005,MT012_006,MT012_007,MT012_008,MT012_009,MT012_010,MT012_011,MT012_012,MT012_013,MT012_014,MT012_015,MT012_016,MT012_017,MT012_018,MT012_019,MT012_020,MT012_021,MT012_022,MT012_023,MT012_024,MT012_025,MT012_026,MT012_027,MT012_028,MT012_029,MT012_030,MT012_031,MT012_032,MT012_033,MT012_034,MT012_035,MT012_036,MT012_037,MT012_038,MT012_039,MT012_040,MT012_041,MT012_042,MT012_043,MT012_044,MT012_045,MT012_046,MT012_047,MT012_048,MT012_049,MT012_050,MT012_051,MT012_052,MT012_053,MT012_054,MT012_055,MT012_056,MT012_057,MT012_058,MT012_059,MT012_060,MT012_061,MT012_062,MT012_063,MT012_064,MT012_065,MT012_066,MT012_067,MT012_068,MT012_069,MT012_070,MT012_071,MT012_072,MT012_073,MT012_074,MT012_075,MT012_076,MT012_077,MT012_078,MT012_079,MT012_080,MT012_081,MT012_082,MT012_083,MT012_084,MT012_085,MT012_086,MT012_087,MT012_088,MT012_089,MT012_090,MT012s001,MT012s002,MT012s003,MT012s004,MT012s005,MT012s006,MT012s007,MT012s008,MT012s009,MT012s010,MT012s011,MT012s012,MT012s013,MT012s014,MT012s015,MT012s016,MT012s017,MT012s018,MT012s019,MT012s020,MT012s021,MT012s022,MT012s023,MT012s024,MT012s025,MT012s026,MT012s027,MT012s028,MT012s029,MT012s030,MT012s031,MT012s032,MT012s033,MT012s034,MT012s035,MT012s036,MT012s037,MT012s038,MT012s039,MT012s040,MT012s041,MT012s042,MT012s043,MT012s044,MT012s045,MT012s046,MT012s047,MT012s048,MT012s049,MT012s050,MT012s051,MT012s052,MT012s053,MT012s054,MT012s055,MT012s056,MT012s057,MT012s058,MT012s059,MT012s060,MT012s061,MT012s062,MT012s063,MT012s064,MT012s065,MT012s066,MT012s067,MT012s068,MT012s069,MT012s070,MT012s071,MT012s072,MT012s073,MT012s074,MT012s075,MT012s076,MT012s077,MT012s078,MT012s079,MT012s080,MT012s081,MT012s082,MT012s083,MT012s084,MT012s085,MT012s086,MT012s087,MT012s088,MT012s089,MT012s090,DistW,DistAdj,SchWgt,SchAdj,SchAdjLAN,SchAdjMAT,SchAdjSCI,SchAdjSOC,StuWgt,LANWgt,MATWgt,SCIWgt,SOCWgt,jkrep,jkzone
12,11011001022,11011001,AP,1,1001,22,MAT- 22,Girl,Rural,Telugu,228.0610005,54,16,29.63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,2,1,4,8,8,4,1,4,1,3,1,1,8,4,1,3,2,4,3,2,1,2,3,1,4,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,4,2,1,1,1,3,8,1,3,4,2,3,1,4,4,1,4,4,2,4,4,1,4,4,4,1,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,8,8,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,1,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.947987361,1,47.82135802,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1.405405405,70.32137489,70.32137489,70.32137489,70.32137489,1,10
42,11011005002,11011005,AP,1,1005,2,MAT- 21,Girl,Rural,Telugu,227.6245847,54,16,29.63,3,1,2,1,4,4,2,2,2,3,2,8,8,3,3,3,1,2,3,3,8,8,3,1,1,2,2,4,3,1,4,4,2,3,8,1,4,1,1,1,4,4,1,2,8,4,1,2,2,2,4,3,3,3,3,2,3,1,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,1,0,0,0,0,0,0,0,0,8,8,0,1,1,0,0,0,0,8,8,0,0,0,0,0,1,0,0,0,0,1,1,8,0,1,0,0,0,0,1,0,1,8,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.947987361,1,18.63169793,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1.256410256,24.4933245,24.4933245,24.4933245,24.4933245,0,11
47,11011005010,11011005,AP,1,1005,10,MAT- 22,Girl,Rural,Telugu,226.1820362,54,15,27.78,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,1,3,1,8,8,3,2,3,4,3,4,3,8,3,4,4,2,1,3,1,1,2,4,1,2,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,3,3,1,4,1,1,8,4,1,4,2,4,3,4,4,1,4,4,4,4,4,3,2,1,1,4,0,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,8,8,0,0,1,1,0,1,0,8,0,0,0,0,0,1,0,0,1,0,1,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,1,1,0,0,0,8,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.947987361,1,18.63169793,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1.256410256,24.4933245,24.4933245,24.4933245,24.4933245,0,11
77,11011007001,11011007,AP,1,1007,1,MAT- 21,Boy,Rural,Telugu,228.0928466,54,16,29.63,1,4,2,3,2,2,1,4,4,1,3,8,8,4,3,3,1,3,4,4,8,8,1,1,4,3,3,1,4,1,3,3,4,2,8,3,2,1,4,3,1,4,4,2,8,2,1,3,3,2,4,1,2,2,3,3,3,2,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,0,0,1,1,0,0,0,1,8,8,0,1,1,0,0,0,0,8,8,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,1,1,1,0,1,8,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.947987361,1,29.27838246,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1.371428571,42.0130394,42.0130394,42.0130394,42.0130394,0,8
82,11011007008,11011007,AP,1,1007,8,MAT- 21,Boy,Rural,Telugu,226.8610976,54,13,24.07,2,2,3,4,4,1,3,4,1,2,4,8,8,2,4,1,4,2,2,4,8,8,1,3,4,2,2,1,4,2,3,1,2,4,8,3,1,4,1,1,2,2,3,3,8,3,1,3,3,2,1,2,4,4,1,1,1,3,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,0,0,0,0,1,1,0,8,8,0,0,0,0,0,1,0,8,8,0,1,0,0,0,0,1,1,0,1,1,0,8,1,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.947987361,1,29.27838246,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1.371428571,42.0130394,42.0130394,42.0130394,42.0130394,0,8
84,11011007010,11011007,AP,1,1007,10,MAT- 22,Boy,Rural,Telugu,227.6331476,54,14,25.93,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,3,2,3,2,8,8,3,4,2,2,4,2,3,8,3,2,1,3,1,3,3,3,2,3,4,3,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,1,3,4,2,1,2,8,3,2,3,3,1,2,2,2,3,4,3,2,1,2,2,3,4,3,1,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,1,8,8,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,1,0,1,0,1,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947987361,1,29.27838246,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1.371428571,42.0130394,42.0130394,42.0130394,42.0130394,0,8
101,11011008010,11011008,AP,1,1008,10,MAT- 22,Boy,Rural,Telugu,227.9688779,54,14,25.93,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,4,3,4,8,8,3,3,3,4,4,3,2,8,3,3,2,3,1,3,2,1,4,4,4,4,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2,4,4,3,2,1,3,8,2,5,0,1,0,3,1,4,2,4,3,1,1,1,2,3,4,3,3,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,1,0,0,8,8,0,1,1,1,0,0,0,8,0,0,1,1,0,1,0,0,0,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.947987361,1,33.36373816,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1,34.9090904,34.9090904,34.9090904,34.9090904,1,2
107,11011009001,11011009,AP,1,1009,1,MAT- 21,Girl,Rural,Telugu,229.7002055,54,15,27.78,1,2,1,4,2,2,2,3,3,4,4,8,8,2,4,3,1,3,1,4,8,8,2,3,2,4,1,4,3,1,4,4,3,3,8,3,2,1,3,4,3,3,1,1,8,2,3,2,1,3,3,3,4,3,3,3,3,3,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,0,1,0,1,0,0,0,8,8,0,0,1,0,0,0,0,8,8,1,1,0,1,1,1,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.947987361,1,36.78566002,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1,38.48950992,38.48950992,38.48950992,38.48950992,0,2
117,11011009019,11011009,AP,1,1009,19,MAT- 22,Boy,Rural,Telugu,228.9529782,54,16,29.63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,2,1,2,8,8,2,1,2,3,2,1,4,8,2,4,4,4,4,2,4,2,2,1,4,4,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,2,3,1,1,1,4,8,2,1,1,3,1,3,1,4,3,2,4,2,2,2,1,2,2,1,4,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,1,8,8,1,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,1,0,0,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,1,1,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.947987361,1,36.78566002,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1,38.48950992,38.48950992,38.48950992,38.48950992,0,2
129,11011010021,11011010,AP,1,1010,21,MAT- 21,Girl,Rural,Telugu,226.9275799,54,14,25.93,1,2,1,4,1,4,3,1,2,1,1,8,8,0,4,3,1,3,2,2,8,8,3,1,3,4,3,5,2,1,2,1,3,2,8,3,1,1,1,2,4,3,3,2,8,1,1,4,3,0,4,2,1,3,3,3,3,4,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,1,0,0,0,0,0,0,8,8,0,0,1,0,0,1,1,8,8,0,0,1,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.947987361,1,18.39283001,1.050583658,1.050583658,1.050583658,1.050583658,1.050583658,1.805555556,34.74747424,34.74747424,34.74747424,34.74747424,1,9
